"Date","Province","CaseCounts"
2020-12-31,"BC",51355.4887553027
2021-01-01,"BC",51980.8355969199
2021-01-02,"BC",52599.9081338744
2021-01-03,"BC",53212.4893955803
2021-01-04,"BC",53818.3804012235
2021-01-05,"BC",54417.4001597619
2021-01-06,"BC",55009.3856699253
2021-01-07,"BC",55594.1919202151
2021-01-08,"BC",56171.6918889051
2021-01-09,"BC",56741.7765440408
2021-01-10,"BC",57304.3548434394
2021-01-11,"BC",57859.3537346902
2021-01-12,"BC",58406.7181551544
2021-01-13,"BC",58946.4110319651
2021-01-14,"BC",59478.4132820272
2021-01-15,"BC",60002.7238120177
2021-01-16,"BC",60519.3595183852
2021-01-17,"BC",61028.3552873506
2021-01-18,"BC",61529.7639949063
2021-01-19,"BC",62023.6565068169
2021-01-20,"BC",62510.1216786187
2021-01-21,"BC",62989.26635562
2021-01-22,"BC",63461.215372901
2021-01-23,"BC",63926.1115553139
2021-01-24,"BC",64384.1157174826
2021-01-25,"BC",64835.406663803
2021-01-26,"BC",65280.1811884429
2021-01-27,"BC",65718.654075342
2021-01-28,"BC",66151.058098212
2021-01-29,"BC",66577.6440205363
2021-01-30,"BC",66998.6805955703
2021-01-31,"BC",67414.4545663414
2021-02-01,"BC",67825.2706656488
2021-02-02,"BC",68231.4516160636
2021-02-03,"BC",68633.3381299288
2021-02-04,"BC",69031.2889093593
2021-02-05,"BC",69425.680646242
2021-02-06,"BC",69816.9080222356
2021-02-07,"BC",70205.3837087707
2021-02-08,"BC",70591.5383670499
2021-02-09,"BC",70975.8206480475
2021-02-10,"BC",71358.69719251
2021-02-11,"BC",71740.6526309555
2021-02-12,"BC",72122.1895836743
2021-02-13,"BC",72503.8286607283
2021-02-14,"BC",72886.1084619515
2021-02-15,"BC",73269.5855769497
2021-02-16,"BC",73654.8345851008
2021-02-17,"BC",74042.4480555543
2021-02-18,"BC",74433.0365472317
2021-02-19,"BC",74827.2286076295
2021-02-20,"BC",75225.6679043434
2021-02-21,"BC",75628.9933923642
2021-02-22,"BC",76037.8255271997
2021-02-23,"BC",76452.765516629
2021-02-24,"BC",76874.3953207019
2021-02-25,"BC",77303.2776517395
2021-02-26,"BC",77739.955974334
2021-02-27,"BC",78184.9545053485
2021-02-28,"BC",78638.7782139176
2021-03-01,"BC",79101.9128214465
2021-03-02,"BC",79574.8248016118
2021-03-03,"BC",80057.961380361
2021-03-04,"BC",80551.7505359128
2021-03-05,"BC",81056.6009987571
2021-03-06,"BC",81572.9022516546
2021-03-07,"BC",82101.0245296373
2021-03-08,"BC",82641.3188200083
2021-03-09,"BC",83194.1168623415
2021-03-10,"BC",83759.7311484823
2021-03-11,"BC",84338.454922547
2021-03-12,"BC",84930.5621809229
2021-03-13,"BC",85536.3076722683
2021-03-14,"BC",86155.9268975131
2021-03-15,"BC",86789.6361098577
2021-03-16,"BC",87437.6323147739
2021-03-17,"BC",88100.0932700045
2021-03-18,"BC",88777.1774855633
2021-03-19,"BC",89469.0242237355
2021-03-20,"BC",90175.7534990771
2021-03-21,"BC",90897.4660784151
2021-03-22,"BC",91634.2434808479
2021-03-23,"BC",92386.1479777448
